ID,control,experimental,ns_accu_1_1b,na_accu_1_1b,ns_accu_1_2b,na_accu_1_2b,ns_dp_1_1b,na_dp_1_1b,ns_dp_1_2b,na_dp_1_2b,ns_pRT_1_1b,na_pRT_1_1b,ns_pRT_1_2b,na_pRT_1_2b,ns_accu_2_1b,na_accu_2_1b,ns_accu_2_2b,na_accu_2_2b,ns_dp_2_1b,na_dp_2_1b,ns_dp_2_2b,na_dp_2_2b,ns_pRT_2_1b,na_pRT_2_1b,ns_pRT_2_2b,na_pRT_2_2b,ns_accu_3_1b,na_accu_3_1b,ns_accu_3_2b,na_accu_3_2b,ns_dp_3_1b,na_dp_3_1b,ns_dp_3_2b,na_dp_3_2b,ns_pRT_3_1b,na_pRT_3_1b,ns_pRT_3_2b,na_pRT_3_2b,ns_accu_4_1b,na_accu_4_1b,ns_accu_4_2b,na_accu_4_2b,ns_dp_4_1b,na_dp_4_1b,ns_dp_4_2b,na_dp_4_2b,ns_pRT_4_1b,na_pRT_4_1b,ns_pRT_4_2b,na_pRT_4_2b
LB013,1,0,90.19166667,87.21666667,86.14166667,87.18333333,3.267098105,2.944686252,1.869182172,2.456840359,1.20226,1.312743333,1.647343333,1.52722,90.19166667,87.21666667,88.175,88.19166667,3.267098105,2.944686252,2.534275285,2.737788063,1.186116667,1.27624,1.4727,1.443433333,88.225,87.24166667,90.19166667,88.21666667,3.291426338,3.667829272,3.267098105,3.120646389,1.00696,0.98103,1.52658,1.40841,89.2,87.24166667,89.16666667,88.20833333,3.128169185,3.667829272,2.717275251,2.977296338,1.166883333,1.02311,1.419243333,1.567633333
LB014,0,1,90.24166667,90.24166667,84.18333333,88.14166667,4.373099449,4.373099449,2.124011669,2.177768777,0.86584,1.066146667,1.354676667,1.461566667,88.23333333,89.20833333,89.24166667,90.23333333,3.510960718,3.253969517,4.120462587,4.04027076,0.8553733333,1.03708,0.89545,0.95207,90.23333333,89.25,89.23333333,89.23333333,4.04027076,4.414593185,3.787633897,3.787633897,0.8978933333,0.8082233333,0.9528566667,0.90349,89.21666667,90.24166667,90.25,88.21666667,3.397319568,4.373099449,4.667230048,3.120646389,0.9247133333,0.9164266667,0.7065833333,1.03747
LB015,1,0,90.21666667,88.24166667,82.175,81.20833333,3.64995643,3.843789408,1.87202939,2.248973132,1.225356667,1.188433333,1.496626667,1.500526667,89.23333333,87.24166667,85.15,83.225,3.787633897,3.667829272,1.846565921,2.701730635,1.224073333,1.102536667,1.591853333,1.335253333,89.225,85.23333333,86.16666667,82.18333333,3.568099517,3.094304764,2.132015466,1.970554601,1.17902,0.98015,1.42,1.371986667,90.24166667,90.25,87.21666667,81.23333333,4.373099449,4.667230048,2.944686252,2.782637512,0.9947766667,0.93223,1.341336667,1.226103333
LB016,0,1,90.21666667,88.21666667,89.175,81.16666667,3.64995643,3.120646389,2.810948464,1.712278865,1.291593333,1.281926667,1.2989,1.540843333,89.21666667,90.24166667,90.19166667,89.24166667,3.397319568,4.373099449,3.267098105,4.120462587,1.197926667,1.110916667,1.286026667,1.275293333,90.20833333,88.24166667,89.2,89.225,3.50660638,3.843789408,3.128169185,3.568099517,1.170046667,1.08973,1.27147,1.17519,89.18333333,89.225,90.21666667,87.225,2.909473675,3.568099517,3.64995643,3.115466201,1.21081,1.084393333,0.9748333333,1.00357
LB018,0,1,90.24166667,89.24166667,86.21666667,85.15833333,4.373099449,4.120462587,2.812059783,1.933913645,0.6674766667,0.7531166667,0.98022,1.346196667,90.25,89.25,90.25,89.25,4.667230048,4.414593185,4.667230048,4.414593185,0.5300033333,0.5892266667,0.5567633333,0.6077033333,89.25,89.24166667,90.23333333,89.23333333,4.414593185,4.120462587,4.04027076,3.787633897,0.5873433333,0.7876233333,0.6572633333,0.6960833333,90.24166667,89.25,90.24166667,90.24166667,4.373099449,4.414593185,4.373099449,4.373099449,0.7169433333,0.82457,0.69362,0.71333
LB019,0,1,83.2,86.19166667,86.14166667,86.13333333,2.261800303,2.429201458,1.869182172,1.784939901,1.19915,1.402516667,1.43445,1.486366667,88.19166667,84.24166667,88.2,88.2,2.737788063,3.335000582,2.851496006,2.851496006,1.341673333,0.9555666667,1.207113333,1.29208,85.175,83.15833333,90.15,88.15,2.117619331,1.760873896,2.792531917,2.263221875,1.329716667,1.30512,1.17144,1.48043,84.2,88.21666667,88.19166667,86.18333333,2.34270718,3.120646389,2.737788063,2.32421389,1.01268,1.101466667,1.08722,1.33417
LB020,1,0,90.24166667,87.19166667,81.15833333,83.14166667,4.373099449,2.561827927,1.622246393,1.588073074,1.016376667,1.223616667,1.32851,1.502036667,90.20833333,86.23333333,83.11666667,83.11666667,3.50660638,3.202374113,1.336527335,1.336527335,1.181673333,1.116286667,1.595323333,1.57795,89.15833333,88.24166667,80.15,82.15,2.627242778,3.843789408,1.473987452,1.600975981,1.3425,0.99131,1.525346667,1.520873333,90.175,89.24166667,85.13333333,84.125,3.063585326,4.120462587,1.676870552,1.501085946,1.191486667,1.07044,1.523206667,1.642436667
LB021,0,1,90.18333333,89.25,89.19166667,84.19166667,3.162110537,4.414593185,3.014461242,2.228999237,1.322653333,1.242613333,1.357536667,1.640986667,88.18333333,89.20833333,89.2,88.225,2.632800495,3.253969517,3.128169185,3.291426338,1.294496667,1.47634,1.44851,1.52768,90.23333333,89.23333333,83.23333333,89.20833333,4.04027076,3.787633897,2.921265015,3.253969517,1.253236667,1.1271,1.205563333,1.33193,90.225,88.23333333,89.20833333,88.23333333,3.820736379,3.510960718,3.253969517,3.510960718,1.260483333,1.225156667,1.204953333,1.04114
LB023,0,1,88.24166667,86.24166667,86.20833333,84.23333333,3.843789408,3.535202803,2.668709733,3.002171892,0.8302766667,1.02689,1.175873333,1.2074,90.25,90.25,88.23333333,90.25,4.667230048,4.667230048,3.510960718,4.667230048,0.7750266667,0.8307933333,0.9217333333,0.96684,90.25,90.25,90.23333333,89.23333333,4.667230048,4.667230048,4.04027076,3.787633897,0.8231,0.8983133333,0.84232,1.02369,90.25,90.24166667,90.25,90.24166667,4.667230048,4.373099449,4.667230048,4.373099449,0.68425,0.8017433333,0.57694,0.7565066667
LB024,0,1,89.19166667,87.24166667,84.2,81.225,3.014461242,3.667829272,2.34270718,2.563103131,1.206883333,0.95611,1.21072,1.141606667,90.23333333,90.23333333,90.21666667,89.23333333,4.04027076,4.04027076,3.64995643,3.787633897,0.78319,0.9884166667,0.85218,0.8634033333,90.20833333,89.24166667,90.21666667,89.24166667,3.50660638,4.120462587,3.64995643,4.120462587,0.9403033333,0.8059166667,0.8847066667,0.78484,90.23333333,86.25,90.24166667,90.225,4.04027076,3.829333401,4.373099449,3.820736379,0.9959266667,0.9711433333,0.9216333333,0.9990333333
LB025,1,0,89.16666667,89.225,85.11666667,85.18333333,2.717275251,3.568099517,1.509567084,2.216144541,1.58544,1.383796667,1.759073333,1.668083333,89.11666667,80.20833333,85.01666667,90.15,2.202896217,2.188061915,0.09213287198,2.792531917,1.694426667,1.381526667,1.964886667,1.713446667,90.21666667,89.24166667,87.14166667,88.19166667,3.64995643,4.120462587,2.001808641,2.737788063,1.279096667,1.144333333,1.514716667,1.40883,89.19166667,90.225,89.19166667,90.175,3.014461242,3.820736379,3.014461242,3.063585326,1.489503333,1.4824,1.457143333,1.593843333
LB026,1,0,88.2,86.2,90.125,88.23333333,2.851496006,2.5429094,2.539184814,3.510960718,1.039853333,1.0548,1.479523333,0.9793133333,89.225,86.21666667,85.2,89.175,3.568099517,2.812059783,2.434840052,2.810948464,0.8293566667,0.9564366667,1.08113,1.211936667,90.15833333,86.2,88.125,85.225,2.879879641,2.5429094,2.009874772,2.874770384,1.271346667,1.17991,1.55285,1.256613333,89.19166667,89.23333333,90.19166667,85.23333333,3.014461242,3.787633897,3.267098105,3.094304764,1.062446667,0.9370033333,1.10711,1.033466667
LB027,0,1,76.2,72.21666667,65.11666667,49.13333333,1.854514571,1.95239285,0.5058040639,0.1952888884,1.36746,1.329773333,1.627433333,1.577103333,88.18333333,88.24166667,88.2,87.21666667,2.632800495,3.843789408,2.851496006,2.944686252,1.304436667,1.288446667,1.331433333,1.424853333,88.2,89.21666667,89.20833333,88.23333333,2.851496006,3.397319568,3.253969517,3.510960718,1.13498,1.312743333,1.093313333,1.2061,89.175,89.23333333,90.15,89.225,2.810948464,3.787633897,2.792531917,3.568099517,1.28074,1.091706667,1.307606667,1.119236667
